date,daily_cost,cost_usd,fx_rate,service_breakdown,day_of_week,is_anomaly,anomaly_type
2025-02-22,1555.51,82.4,18.8776,"{'EC2': 822.43, 'S3': 290.39, 'Lambda': 218.74, 'Other': 223.95}",5,False,
2025-02-23,1531.44,81.24,18.8508,"{'EC2': 906.54, 'S3': 348.17, 'Lambda': 111.86, 'Other': 164.87}",6,False,
2025-02-24,2036.54,107.96,18.8638,"{'EC2': 1419.15, 'S3': 407.52, 'Lambda': 121.82, 'Other': 88.05}",0,False,
2025-02-25,1932.67,102.2,18.9107,"{'EC2': 1060.13, 'S3': 345.77, 'Lambda': 285.93, 'Other': 240.84}",1,False,
2025-02-26,1957.27,103.19,18.9676,"{'EC2': 1200.48, 'S3': 369.31, 'Lambda': 179.88, 'Other': 207.6}",2,False,
2025-02-27,2129.77,111.91,19.0311,"{'EC2': 1271.87, 'S3': 500.09, 'Lambda': 141.76, 'Other': 216.05}",3,False,
2025-02-28,2333.97,122.82,19.0032,"{'EC2': 1323.54, 'S3': 530.11, 'Lambda': 224.15, 'Other': 256.17}",4,False,
2025-03-01,1544.04,81.41,18.9662,"{'EC2': 957.93, 'S3': 284.4, 'Lambda': 181.81, 'Other': 119.9}",5,False,
2025-03-02,1607.88,84.47,19.0349,"{'EC2': 969.95, 'S3': 323.54, 'Lambda': 140.17, 'Other': 174.22}",6,False,
2025-03-03,2044.04,107.47,19.0196,"{'EC2': 1421.18, 'S3': 328.23, 'Lambda': 203.5, 'Other': 91.13}",0,False,
2025-03-04,1913.13,101.13,18.9175,"{'EC2': 1224.79, 'S3': 433.52, 'Lambda': 149.85, 'Other': 104.97}",1,False,
2025-03-05,1755.22,93.23,18.8268,"{'EC2': 973.35, 'S3': 454.6, 'Lambda': 188.51, 'Other': 138.76}",2,False,
2025-03-06,2103.18,112.15,18.7533,"{'EC2': 1231.58, 'S3': 425.42, 'Lambda': 229.28, 'Other': 216.9}",3,False,
2025-03-07,2144.09,114.09,18.793,"{'EC2': 1262.33, 'S3': 455.12, 'Lambda': 164.11, 'Other': 262.53}",4,False,
2025-03-08,1676.22,89.14,18.8044,"{'EC2': 977.88, 'S3': 296.96, 'Lambda': 239.93, 'Other': 161.45}",5,False,
2025-03-09,1665.88,88.33,18.8597,"{'EC2': 937.95, 'S3': 389.51, 'Lambda': 166.17, 'Other': 172.25}",6,False,
2025-03-10,2236.85,118.82,18.8255,"{'EC2': 1371.28, 'S3': 399.8, 'Lambda': 201.43, 'Other': 264.34}",0,False,
2025-03-11,1916.03,101.71,18.8382,"{'EC2': 1228.56, 'S3': 364.8, 'Lambda': 266.77, 'Other': 55.9}",1,False,
2025-03-12,2004.98,106.15,18.8882,"{'EC2': 1188.71, 'S3': 379.1, 'Lambda': 232.44, 'Other': 204.73}",2,False,
2025-03-13,2060.84,109.25,18.8635,"{'EC2': 1236.21, 'S3': 428.05, 'Lambda': 144.85, 'Other': 251.73}",3,False,
2025-03-14,2163.48,114.47,18.9,"{'EC2': 1204.78, 'S3': 426.9, 'Lambda': 214.52, 'Other': 317.28}",4,False,
2025-03-15,1561.48,82.85,18.8471,"{'EC2': 1025.14, 'S3': 307.82, 'Lambda': 119.79, 'Other': 108.73}",5,False,
2025-03-16,1498.29,79.62,18.818,"{'EC2': 908.08, 'S3': 319.0, 'Lambda': 154.21, 'Other': 117.0}",6,False,
2025-03-17,2184.23,116.26,18.7875,"{'EC2': 1339.88, 'S3': 420.39, 'Lambda': 173.17, 'Other': 250.79}",0,False,
2025-03-18,2101.89,112.45,18.6918,"{'EC2': 1250.63, 'S3': 444.83, 'Lambda': 242.37, 'Other': 164.06}",1,False,
2025-03-19,2109.28,112.61,18.7308,"{'EC2': 1143.43, 'S3': 493.43, 'Lambda': 282.47, 'Other': 189.95}",2,False,
2025-03-20,480.6,25.71,18.6932,"{'EC2': 287.27, 'S3': 97.15, 'Lambda': 34.47, 'Other': 61.71}",3,True,drop
2025-03-21,2299.76,123.02,18.6942,"{'EC2': 1305.24, 'S3': 404.2, 'Lambda': 247.46, 'Other': 342.86}",4,False,
2025-03-22,1477.45,78.87,18.7327,"{'EC2': 921.35, 'S3': 386.21, 'Lambda': 76.51, 'Other': 93.38}",5,False,
2025-03-23,1545.2,82.33,18.7684,"{'EC2': 937.91, 'S3': 360.12, 'Lambda': 172.13, 'Other': 75.04}",6,False,
2025-03-24,2168.06,115.19,18.8216,"{'EC2': 1285.14, 'S3': 525.45, 'Lambda': 179.03, 'Other': 178.44}",0,False,
2025-03-25,2172.81,115.49,18.8138,"{'EC2': 1350.84, 'S3': 462.89, 'Lambda': 107.2, 'Other': 251.88}",1,False,
2025-03-26,2005.32,106.78,18.7799,"{'EC2': 1276.66, 'S3': 330.78, 'Lambda': 238.46, 'Other': 159.42}",2,False,
2025-03-27,1980.98,105.52,18.7735,"{'EC2': 1168.18, 'S3': 389.6, 'Lambda': 153.36, 'Other': 269.84}",3,False,
2025-03-28,2057.88,110.41,18.6385,"{'EC2': 1231.08, 'S3': 426.23, 'Lambda': 166.77, 'Other': 233.8}",4,False,
2025-03-29,1528.69,82.53,18.5228,"{'EC2': 971.25, 'S3': 398.12, 'Lambda': 113.68, 'Other': 45.64}",5,False,
2025-03-30,1689.57,91.74,18.4169,"{'EC2': 1146.51, 'S3': 318.36, 'Lambda': 71.0, 'Other': 153.7}",6,False,
2025-03-31,2048.82,111.73,18.3372,"{'EC2': 1224.94, 'S3': 343.38, 'Lambda': 241.95, 'Other': 238.55}",0,False,
2025-04-01,1929.13,105.02,18.3692,"{'EC2': 1111.68, 'S3': 468.29, 'Lambda': 188.26, 'Other': 160.9}",1,False,
2025-04-02,2064.6,112.84,18.2967,"{'EC2': 1330.41, 'S3': 318.55, 'Lambda': 225.73, 'Other': 189.91}",2,False,
2025-04-03,2270.71,124.31,18.2665,"{'EC2': 1312.09, 'S3': 551.59, 'Lambda': 147.56, 'Other': 259.47}",3,False,
2025-04-04,2126.74,115.77,18.3704,"{'EC2': 1213.42, 'S3': 434.1, 'Lambda': 288.33, 'Other': 190.89}",4,False,
2025-04-05,1436.9,78.34,18.3419,"{'EC2': 897.57, 'S3': 258.92, 'Lambda': 134.35, 'Other': 146.06}",5,False,
2025-04-06,1442.26,78.38,18.4009,"{'EC2': 910.78, 'S3': 354.16, 'Lambda': 139.24, 'Other': 38.08}",6,False,
2025-04-07,2178.8,118.89,18.3262,"{'EC2': 1362.8, 'S3': 400.17, 'Lambda': 135.56, 'Other': 280.27}",0,False,
2025-04-08,2134.01,116.55,18.3098,"{'EC2': 1313.77, 'S3': 415.97, 'Lambda': 218.41, 'Other': 185.86}",1,False,
2025-04-09,2176.75,119.38,18.2338,"{'EC2': 1310.69, 'S3': 503.2, 'Lambda': 178.7, 'Other': 184.16}",2,False,
2025-04-10,2040.96,112.1,18.2066,"{'EC2': 1221.49, 'S3': 479.71, 'Lambda': 168.88, 'Other': 170.88}",3,False,
2025-04-11,2134.57,116.81,18.2739,"{'EC2': 1361.93, 'S3': 525.26, 'Lambda': 74.57, 'Other': 172.81}",4,False,
2025-04-12,1504.9,82.98,18.1357,"{'EC2': 919.57, 'S3': 296.63, 'Lambda': 125.78, 'Other': 162.92}",5,False,
2025-04-13,1658.78,91.29,18.1704,"{'EC2': 991.51, 'S3': 282.87, 'Lambda': 164.44, 'Other': 219.96}",6,False,
2025-04-14,1997.57,109.82,18.1895,"{'EC2': 1141.44, 'S3': 432.03, 'Lambda': 186.07, 'Other': 238.03}",0,False,
2025-04-15,2095.75,115.52,18.1419,"{'EC2': 1323.65, 'S3': 360.08, 'Lambda': 212.36, 'Other': 199.66}",1,False,
2025-04-16,1959.63,108.71,18.0262,"{'EC2': 1162.36, 'S3': 463.54, 'Lambda': 188.03, 'Other': 145.7}",2,False,
2025-04-17,2079.81,115.34,18.032,"{'EC2': 1476.5, 'S3': 306.5, 'Lambda': 128.35, 'Other': 168.46}",3,False,
2025-04-18,2240.26,124.53,17.9897,"{'EC2': 1414.49, 'S3': 518.44, 'Lambda': 152.95, 'Other': 154.38}",4,False,
2025-04-19,1604.54,89.1,18.0083,"{'EC2': 945.74, 'S3': 340.2, 'Lambda': 148.32, 'Other': 170.28}",5,False,
2025-04-20,1583.98,87.95,18.01,"{'EC2': 1059.92, 'S3': 381.25, 'Lambda': 87.41, 'Other': 55.4}",6,False,
2025-04-21,2219.03,122.34,18.1382,"{'EC2': 1481.31, 'S3': 394.73, 'Lambda': 103.02, 'Other': 239.97}",0,False,
2025-04-22,2211.97,122.08,18.119,"{'EC2': 1402.34, 'S3': 462.11, 'Lambda': 190.53, 'Other': 156.99}",1,False,
2025-04-23,2108.0,116.87,18.0371,"{'EC2': 1158.32, 'S3': 332.29, 'Lambda': 316.44, 'Other': 300.95}",2,False,
2025-04-24,2230.98,123.59,18.0515,"{'EC2': 1239.17, 'S3': 488.53, 'Lambda': 258.04, 'Other': 245.24}",3,False,
2025-04-25,2248.16,124.42,18.0691,"{'EC2': 1299.98, 'S3': 466.6, 'Lambda': 250.12, 'Other': 231.46}",4,False,
2025-04-26,1456.04,80.1,18.1778,"{'EC2': 879.14, 'S3': 267.48, 'Lambda': 89.89, 'Other': 219.53}",5,False,
2025-04-27,1745.28,95.66,18.2446,"{'EC2': 1026.64, 'S3': 332.7, 'Lambda': 225.14, 'Other': 160.8}",6,False,
2025-04-28,2169.76,118.74,18.2732,"{'EC2': 1306.68, 'S3': 488.19, 'Lambda': 234.55, 'Other': 140.34}",0,False,
2025-04-29,2159.01,117.4,18.3902,"{'EC2': 1196.1, 'S3': 508.23, 'Lambda': 253.84, 'Other': 200.84}",1,False,
2025-04-30,2182.97,119.32,18.2951,"{'EC2': 1369.89, 'S3': 441.76, 'Lambda': 153.83, 'Other': 217.49}",2,False,
2025-05-01,2072.51,113.6,18.2439,"{'EC2': 1245.53, 'S3': 476.82, 'Lambda': 247.42, 'Other': 102.74}",3,False,
2025-05-02,2133.68,117.43,18.1698,"{'EC2': 1228.93, 'S3': 452.21, 'Lambda': 255.15, 'Other': 197.39}",4,False,
2025-05-03,1541.42,84.98,18.1386,"{'EC2': 851.06, 'S3': 315.44, 'Lambda': 167.03, 'Other': 207.89}",5,False,
2025-05-04,1689.63,93.72,18.0285,"{'EC2': 1053.81, 'S3': 287.61, 'Lambda': 159.88, 'Other': 188.33}",6,False,
2025-05-05,2122.51,117.4,18.0793,"{'EC2': 1293.24, 'S3': 460.74, 'Lambda': 188.4, 'Other': 180.13}",0,False,
2025-05-06,8128.76,450.06,18.0615,"{'EC2': 5105.79, 'S3': 1750.31, 'Lambda': 553.33, 'Other': 719.33}",1,True,spike
2025-05-07,2286.95,127.45,17.9439,"{'EC2': 1526.53, 'S3': 368.71, 'Lambda': 119.24, 'Other': 272.47}",2,False,
2025-05-08,2129.76,119.23,17.8626,"{'EC2': 1316.98, 'S3': 522.01, 'Lambda': 43.75, 'Other': 247.02}",3,False,
2025-05-09,2298.75,128.51,17.8877,"{'EC2': 1437.53, 'S3': 478.88, 'Lambda': 196.56, 'Other': 185.78}",4,False,
2025-05-10,2903.47,161.71,17.9548,"{'EC2': 1724.09, 'S3': 499.82, 'Lambda': 413.58, 'Other': 265.98}",5,True,sustained_increase
2025-05-11,4596.74,253.76,18.1145,"{'EC2': 2444.2, 'S3': 853.8, 'Lambda': 790.67, 'Other': 508.07}",6,True,sustained_increase
2025-05-12,5274.57,287.48,18.3476,"{'EC2': 3099.29, 'S3': 974.84, 'Lambda': 669.46, 'Other': 530.98}",0,True,sustained_increase
2025-05-13,3736.08,203.26,18.3808,"{'EC2': 2314.71, 'S3': 807.17, 'Lambda': 158.93, 'Other': 455.27}",1,True,sustained_increase
2025-05-14,3618.59,197.72,18.3016,"{'EC2': 2154.27, 'S3': 729.27, 'Lambda': 285.18, 'Other': 449.87}",2,True,sustained_increase
2025-05-15,2031.4,112.04,18.131,"{'EC2': 1221.88, 'S3': 379.28, 'Lambda': 204.97, 'Other': 225.27}",3,False,
2025-05-16,2072.82,114.19,18.1524,"{'EC2': 1419.15, 'S3': 460.83, 'Lambda': 98.7, 'Other': 94.14}",4,False,
2025-05-17,1632.21,90.24,18.0874,"{'EC2': 972.2, 'S3': 322.61, 'Lambda': 162.47, 'Other': 174.93}",5,False,
2025-05-18,1709.73,94.7,18.0542,"{'EC2': 1067.75, 'S3': 310.6, 'Lambda': 126.62, 'Other': 204.76}",6,False,
2025-05-19,2308.45,128.21,18.0052,"{'EC2': 1621.25, 'S3': 345.06, 'Lambda': 134.99, 'Other': 207.15}",0,False,
2025-05-20,7242.76,402.51,17.994,"{'EC2': 4341.0, 'S3': 1376.68, 'Lambda': 949.43, 'Other': 575.65}",1,True,spike
2025-05-21,2093.21,115.78,18.0792,"{'EC2': 1308.15, 'S3': 327.76, 'Lambda': 237.82, 'Other': 219.48}",2,False,
2025-05-22,2175.72,120.26,18.0918,"{'EC2': 1299.88, 'S3': 363.95, 'Lambda': 324.76, 'Other': 187.13}",3,False,
2025-05-23,2052.88,113.55,18.0791,"{'EC2': 1288.65, 'S3': 358.95, 'Lambda': 165.76, 'Other': 239.52}",4,False,
2025-05-24,1684.81,93.62,17.9963,"{'EC2': 899.58, 'S3': 355.33, 'Lambda': 208.48, 'Other': 221.42}",5,False,
2025-05-25,1672.09,93.61,17.8623,"{'EC2': 1129.32, 'S3': 252.99, 'Lambda': 159.4, 'Other': 130.38}",6,False,
2025-05-26,2183.01,122.48,17.8234,"{'EC2': 1236.23, 'S3': 413.62, 'Lambda': 331.86, 'Other': 201.3}",0,False,
2025-05-27,2217.05,124.42,17.8191,"{'EC2': 1303.14, 'S3': 444.48, 'Lambda': 220.14, 'Other': 249.29}",1,False,
2025-05-28,2319.78,129.16,17.9605,"{'EC2': 1445.97, 'S3': 465.99, 'Lambda': 262.03, 'Other': 145.79}",2,False,
2025-05-29,2186.34,121.66,17.9709,"{'EC2': 1263.4, 'S3': 454.47, 'Lambda': 213.88, 'Other': 254.59}",3,False,
2025-05-30,2262.5,125.35,18.0495,"{'EC2': 1378.2, 'S3': 452.2, 'Lambda': 193.57, 'Other': 238.53}",4,False,
2025-05-31,1412.13,78.41,18.0096,"{'EC2': 999.55, 'S3': 148.01, 'Lambda': 78.95, 'Other': 185.62}",5,False,
2025-06-01,1687.22,94.18,17.9148,"{'EC2': 982.62, 'S3': 310.61, 'Lambda': 245.37, 'Other': 148.62}",6,False,
2025-06-02,2436.08,136.57,17.8376,"{'EC2': 1372.8, 'S3': 485.65, 'Lambda': 339.81, 'Other': 237.82}",0,False,
2025-06-03,2076.48,116.79,17.7796,"{'EC2': 1308.37, 'S3': 436.19, 'Lambda': 129.49, 'Other': 202.43}",1,False,
2025-06-04,363.66,20.26,17.9499,"{'EC2': 219.44, 'S3': 69.92, 'Lambda': 35.35, 'Other': 38.95}",2,True,drop
2025-06-05,2272.17,127.05,17.8841,"{'EC2': 1349.78, 'S3': 399.61, 'Lambda': 315.28, 'Other': 207.5}",3,False,
2025-06-06,2058.28,114.66,17.9512,"{'EC2': 1277.47, 'S3': 445.54, 'Lambda': 112.64, 'Other': 222.63}",4,False,
2025-06-07,1717.64,96.07,17.879,"{'EC2': 1051.99, 'S3': 376.85, 'Lambda': 99.6, 'Other': 189.2}",5,False,
2025-06-08,1640.41,91.37,17.9535,"{'EC2': 865.43, 'S3': 334.21, 'Lambda': 213.4, 'Other': 227.37}",6,False,
2025-06-09,2373.75,131.99,17.9843,"{'EC2': 1369.95, 'S3': 483.46, 'Lambda': 282.4, 'Other': 237.94}",0,False,
2025-06-10,2243.06,124.81,17.9718,"{'EC2': 1417.4, 'S3': 449.74, 'Lambda': 177.25, 'Other': 198.67}",1,False,
2025-06-11,2301.41,128.08,17.9685,"{'EC2': 1355.1, 'S3': 474.68, 'Lambda': 271.21, 'Other': 200.42}",2,False,
2025-06-12,2311.18,129.0,17.9161,"{'EC2': 1409.36, 'S3': 375.66, 'Lambda': 330.27, 'Other': 195.89}",3,False,
2025-06-13,2049.2,114.15,17.9518,"{'EC2': 1251.14, 'S3': 372.65, 'Lambda': 223.46, 'Other': 201.95}",4,False,
2025-06-14,1646.07,91.88,17.9154,"{'EC2': 969.24, 'S3': 329.34, 'Lambda': 171.54, 'Other': 175.95}",5,False,
2025-06-15,1718.31,96.44,17.8174,"{'EC2': 1070.6, 'S3': 377.1, 'Lambda': 69.0, 'Other': 201.61}",6,False,
2025-06-16,2212.08,124.87,17.7151,"{'EC2': 1319.98, 'S3': 492.62, 'Lambda': 221.79, 'Other': 177.69}",0,False,
2025-06-17,2270.72,128.08,17.7289,"{'EC2': 1330.5, 'S3': 455.43, 'Lambda': 295.14, 'Other': 189.65}",1,False,
2025-06-18,2325.47,130.24,17.8553,"{'EC2': 1384.59, 'S3': 382.48, 'Lambda': 288.42, 'Other': 269.98}",2,False,
2025-06-19,2251.2,125.99,17.8681,"{'EC2': 1365.46, 'S3': 412.2, 'Lambda': 198.43, 'Other': 275.11}",3,False,
2025-06-20,2134.1,119.5,17.8586,"{'EC2': 1344.72, 'S3': 356.94, 'Lambda': 205.9, 'Other': 226.54}",4,False,
2025-06-21,1891.15,105.76,17.8815,"{'EC2': 1036.17, 'S3': 452.84, 'Lambda': 193.8, 'Other': 208.34}",5,False,
2025-06-22,1707.04,94.91,17.9859,"{'EC2': 1008.03, 'S3': 321.12, 'Lambda': 236.04, 'Other': 141.85}",6,False,
2025-06-23,2395.91,133.08,18.0035,"{'EC2': 1448.67, 'S3': 494.45, 'Lambda': 169.25, 'Other': 283.54}",0,False,
2025-06-24,2429.8,135.21,17.9706,"{'EC2': 1526.34, 'S3': 495.67, 'Lambda': 169.98, 'Other': 237.81}",1,False,
2025-06-25,223.75,12.39,18.0591,"{'EC2': 121.98, 'S3': 48.16, 'Lambda': 37.04, 'Other': 16.57}",2,True,drop
2025-06-26,2451.11,135.47,18.0934,"{'EC2': 1462.83, 'S3': 470.81, 'Lambda': 272.13, 'Other': 245.34}",3,False,
2025-06-27,2318.02,127.25,18.2163,"{'EC2': 1482.34, 'S3': 398.63, 'Lambda': 135.41, 'Other': 301.64}",4,False,
2025-06-28,1708.42,93.71,18.2309,"{'EC2': 983.07, 'S3': 338.19, 'Lambda': 209.15, 'Other': 178.01}",5,False,
2025-06-29,1668.6,92.02,18.133,"{'EC2': 941.8, 'S3': 365.86, 'Lambda': 169.84, 'Other': 191.1}",6,False,
